District,S.No.,Parameters,Type,April - Total [(A+B) or (C+D)],April - Public [A],April - Private [B],April - Urban [C],April - Rural [D],May - Total [(A+B) or (C+D)],May - Public [A],May - Private [B],May - Urban [C],May - Rural [D],June - Total [(A+B) or (C+D)],June - Public [A],June - Private [B],June - Urban [C],June - Rural [D],July - Total [(A+B) or (C+D)],July - Public [A],July - Private [B],July - Urban [C],July - Rural [D],August - Total [(A+B) or (C+D)],August - Public [A],August - Private [B],August - Urban [C],August - Rural [D],September - Total [(A+B) or (C+D)],September - Public [A],September - Private [B],September - Urban [C],September - Rural [D],October - Total [(A+B) or (C+D)],October - Public [A],October - Private [B],October - Urban [C],October - Rural [D],November - Total [(A+B) or (C+D)],November - Public [A],November - Private [B],November - Urban [C],November - Rural [D],December - Total [(A+B) or (C+D)],December - Public [A],December - Private [B],December - Urban [C],December - Rural [D],January - Total [(A+B) or (C+D)],January - Public [A],January - Private [B],January - Urban [C],January - Rural [D],February - Total [(A+B) or (C+D)],February - Public [A],February - Private [B],February - Urban [C],February - Rural [D],March - Total [(A+B) or (C+D)],March - Public [A],March - Private [B],March - Urban [C],March - Rural [D],Total - Total [(A+B) or (C+D)],Total - Public [A],Total - Private [B],Total - Urban [C],Total - Rural [D]
Marigaon,19.15',Albendazole 400 mg tablet,4. Stock Distributed,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,100000,NA,NA,NA,NA,0,NA,NA,NA,NA,10000,NA,NA,NA,NA,180000,NA,NA,NA,NA,5000,NA,NA,NA,NA,0,NA,NA,NA,NA,4000,NA,NA,NA,NA,0,NA,NA,NA,NA,299000,NA,NA,NA,NA
Marigaon,19.15',Albendazole 400 mg tablet,5. Total Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,309000,NA,NA,NA,NA,209000,NA,NA,NA,NA,209000,NA,NA,NA,NA,199000,NA,NA,NA,NA,19000,NA,NA,NA,NA,14000,NA,NA,NA,NA,14000,NA,NA,NA,NA,1000,NA,NA,NA,NA,1000,NA,NA,NA,NA,975000,NA,NA,NA,NA
Marigaon,'19.16',Calcium Tablets,1. Balance From Previous Month,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,35410,NA,NA,NA,NA,27560,NA,NA,NA,NA,21960,NA,NA,NA,NA,21960,NA,NA,NA,NA,21960,NA,NA,NA,NA,21960,NA,NA,NA,NA,150810,NA,NA,NA,NA
Marigaon,19.16',Calcium Tablets,2. Stocks Received,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Marigaon,19.16',Calcium Tablets,3. Unusable Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Marigaon,19.16',Calcium Tablets,4. Stock Distributed,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,7850,NA,NA,NA,NA,5600,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,21960,NA,NA,NA,NA,35410,NA,NA,NA,NA
Marigaon,19.16',Calcium Tablets,5. Total Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,27560,NA,NA,NA,NA,21960,NA,NA,NA,NA,21960,NA,NA,NA,NA,21960,NA,NA,NA,NA,21960,NA,NA,NA,NA,0,NA,NA,NA,NA,115400,NA,NA,NA,NA
Marigaon,'20.1',Syringes - 0.1 ml (AD),1. Balance From Previous Month,140,NA,NA,NA,NA,12190,NA,NA,NA,NA,7190,NA,NA,NA,NA,2290,NA,NA,NA,NA,13690,NA,NA,NA,NA,8190,NA,NA,NA,NA,28190,NA,NA,NA,NA,34590,NA,NA,NA,NA,30690,NA,NA,NA,NA,24490,NA,NA,NA,NA,NA,NA,NA,NA,NA,35790,NA,NA,NA,NA,197440,NA,NA,NA,NA
Marigaon,20.1',Syringes - 0.1 ml (AD),2. Stocks Received,17200,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,17200,NA,NA,NA,NA,0,NA,NA,NA,NA,20000,NA,NA,NA,NA,12000,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,16800,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,83200,NA,NA,NA,NA
Marigaon,20.1',Syringes - 0.1 ml (AD),3. Unusable Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Marigaon,20.1',Syringes - 0.1 ml (AD),4. Stock Distributed,5150,NA,NA,NA,NA,5000,NA,NA,NA,NA,4900,NA,NA,NA,NA,5800,NA,NA,NA,NA,5500,NA,NA,NA,NA,0,NA,NA,NA,NA,5600,NA,NA,NA,NA,3900,NA,NA,NA,NA,6200,NA,NA,NA,NA,2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,6650,NA,NA,NA,NA,51400,NA,NA,NA,NA
Marigaon,20.1',Syringes - 0.1 ml (AD),5. Total Stock,12190,NA,NA,NA,NA,7190,NA,NA,NA,NA,2290,NA,NA,NA,NA,13690,NA,NA,NA,NA,8190,NA,NA,NA,NA,28190,NA,NA,NA,NA,34590,NA,NA,NA,NA,30690,NA,NA,NA,NA,24490,NA,NA,NA,NA,38590,NA,NA,NA,NA,0,NA,NA,NA,NA,29140,NA,NA,NA,NA,229240,NA,NA,NA,NA
Marigaon,'20.2',Syringes - 0.5 ml (AD),1. Balance From Previous Month,2800,NA,NA,NA,NA,10600,NA,NA,NA,NA,6000,NA,NA,NA,NA,0,NA,NA,NA,NA,40000,NA,NA,NA,NA,28000,NA,NA,NA,NA,42000,NA,NA,NA,NA,39600,NA,NA,NA,NA,11600,NA,NA,NA,NA,7600,NA,NA,NA,NA,NA,NA,NA,NA,NA,4800,NA,NA,NA,NA,193000,NA,NA,NA,NA
Marigaon,20.2',Syringes - 0.5 ml (AD),2. Stocks Received,20000,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,74000,NA,NA,NA,NA,0,NA,NA,NA,NA,20000,NA,NA,NA,NA,20000,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,14000,NA,NA,NA,NA,NA,NA,NA,NA,NA,40000,NA,NA,NA,NA,188000,NA,NA,NA,NA
Marigaon,20.2',Syringes - 0.5 ml (AD),3. Unusable Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Marigaon,20.2',Syringes - 0.5 ml (AD),4. Stock Distributed,12200,NA,NA,NA,NA,4600,NA,NA,NA,NA,6000,NA,NA,NA,NA,34000,NA,NA,NA,NA,12000,NA,NA,NA,NA,6000,NA,NA,NA,NA,22400,NA,NA,NA,NA,28000,NA,NA,NA,NA,4000,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,14000,NA,NA,NA,NA,145200,NA,NA,NA,NA
Marigaon,20.2',Syringes - 0.5 ml (AD),5. Total Stock,10600,NA,NA,NA,NA,6000,NA,NA,NA,NA,0,NA,NA,NA,NA,40000,NA,NA,NA,NA,28000,NA,NA,NA,NA,42000,NA,NA,NA,NA,39600,NA,NA,NA,NA,11600,NA,NA,NA,NA,7600,NA,NA,NA,NA,19600,NA,NA,NA,NA,0,NA,NA,NA,NA,30800,NA,NA,NA,NA,235800,NA,NA,NA,NA
Marigaon,'20.3',Syringes - 5.0 ml (Disposable),1. Balance From Previous Month,6800,NA,NA,NA,NA,156180,NA,NA,NA,NA,110480,NA,NA,NA,NA,97180,NA,NA,NA,NA,69130,NA,NA,NA,NA,140110,NA,NA,NA,NA,43910,NA,NA,NA,NA,37610,NA,NA,NA,NA,153150,NA,NA,NA,NA,123950,NA,NA,NA,NA,NA,NA,NA,NA,NA,9925,NA,NA,NA,NA,948425,NA,NA,NA,NA
Marigaon,20.3',Syringes - 5.0 ml (Disposable),2. Stocks Received,169600,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,6000,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,5400,NA,NA,NA,NA,150000,NA,NA,NA,NA,0,NA,NA,NA,NA,9600,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,340600,NA,NA,NA,NA
Marigaon,20.3',Syringes - 5.0 ml (Disposable),3. Unusable Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Marigaon,20.3',Syringes - 5.0 ml (Disposable),4. Stock Distributed,20220,NA,NA,NA,NA,45700,NA,NA,NA,NA,13300,NA,NA,NA,NA,34050,NA,NA,NA,NA,18320,NA,NA,NA,NA,96200,NA,NA,NA,NA,11700,NA,NA,NA,NA,34460,NA,NA,NA,NA,29200,NA,NA,NA,NA,9415,NA,NA,NA,NA,NA,NA,NA,NA,NA,5200,NA,NA,NA,NA,317765,NA,NA,NA,NA
Marigaon,20.3',Syringes - 5.0 ml (Disposable),5. Total Stock,156180,NA,NA,NA,NA,110480,NA,NA,NA,NA,97180,NA,NA,NA,NA,69130,NA,NA,NA,NA,50810,NA,NA,NA,NA,43910,NA,NA,NA,NA,37610,NA,NA,NA,NA,153150,NA,NA,NA,NA,123950,NA,NA,NA,NA,124135,NA,NA,NA,NA,0,NA,NA,NA,NA,4725,NA,NA,NA,NA,971260,NA,NA,NA,NA
Marigaon,'21.1',Number of newborn screened for defects at birth (as per RBSK),TOTAL,474,NA,NA,NA,NA,456,NA,NA,NA,NA,420,NA,NA,NA,NA,539,NA,NA,NA,NA,700,NA,NA,NA,NA,728,NA,NA,NA,NA,804,NA,NA,NA,NA,757,NA,NA,NA,NA,850,NA,NA,NA,NA,893,NA,NA,NA,NA,263,NA,NA,NA,NA,NA,NA,NA,NA,NA,6884,NA,NA,NA,NA
Marigaon,'21.2',Number of children (6 month to 6 years) screened by RBSK mobile health teams at Anganwadi center,TOTAL,3710,NA,NA,NA,NA,5048,NA,NA,NA,NA,4532,NA,NA,NA,NA,13163,NA,NA,NA,NA,3015,NA,NA,NA,NA,3576,NA,NA,NA,NA,5171,NA,NA,NA,NA,2016,NA,NA,NA,NA,9159,NA,NA,NA,NA,7090,NA,NA,NA,NA,7165,NA,NA,NA,NA,4268,NA,NA,NA,NA,67913,NA,NA,NA,NA
Marigaon,'21.3',Number of children (6 years to 18 years) screened by RBSK mobile health teams at Govt and Govt aided schools,TOTAL,8468,NA,NA,NA,NA,9771,NA,NA,NA,NA,8628,NA,NA,NA,NA,0,NA,NA,NA,NA,12700,NA,NA,NA,NA,12860,NA,NA,NA,NA,10738,NA,NA,NA,NA,8509,NA,NA,NA,NA,804,NA,NA,NA,NA,7879,NA,NA,NA,NA,8835,NA,NA,NA,NA,2360,NA,NA,NA,NA,91552,NA,NA,NA,NA
Marigaon,'21.4.1.a',Number of Male children identified with Disease,TOTAL,94,NA,NA,NA,NA,62,NA,NA,NA,NA,27,NA,NA,NA,NA,44,NA,NA,NA,NA,95,NA,NA,NA,NA,85,NA,NA,NA,NA,74,NA,NA,NA,NA,407,NA,NA,NA,NA,326,NA,NA,NA,NA,455,NA,NA,NA,NA,876,NA,NA,NA,NA,311,NA,NA,NA,NA,2856,NA,NA,NA,NA
Marigaon,'21.4.1.b',Number of Female children identified with Disease,TOTAL,99,NA,NA,NA,NA,56,NA,NA,NA,NA,29,NA,NA,NA,NA,30,NA,NA,NA,NA,79,NA,NA,NA,NA,61,NA,NA,NA,NA,103,NA,NA,NA,NA,504,NA,NA,NA,NA,303,NA,NA,NA,NA,618,NA,NA,NA,NA,1008,NA,NA,NA,NA,361,NA,NA,NA,NA,3251,NA,NA,NA,NA
Marigaon,'21.4.2.a',Number of Male children identified with Deficiency,TOTAL,4,NA,NA,NA,NA,7,NA,NA,NA,NA,0,NA,NA,NA,NA,8,NA,NA,NA,NA,9,NA,NA,NA,NA,11,NA,NA,NA,NA,9,NA,NA,NA,NA,40,NA,NA,NA,NA,57,NA,NA,NA,NA,86,NA,NA,NA,NA,116,NA,NA,NA,NA,91,NA,NA,NA,NA,438,NA,NA,NA,NA
Marigaon,'21.4.2.b',Number of Female children identified with Deficiency,TOTAL,10,NA,NA,NA,NA,9,NA,NA,NA,NA,3,NA,NA,NA,NA,13,NA,NA,NA,NA,12,NA,NA,NA,NA,90,NA,NA,NA,NA,4,NA,NA,NA,NA,51,NA,NA,NA,NA,40,NA,NA,NA,NA,116,NA,NA,NA,NA,181,NA,NA,NA,NA,74,NA,NA,NA,NA,603,NA,NA,NA,NA
Marigaon,'21.4.3.a',Number of Male children identified with Developmental delay,TOTAL,16,NA,NA,NA,NA,22,NA,NA,NA,NA,24,NA,NA,NA,NA,9,NA,NA,NA,NA,24,NA,NA,NA,NA,12,NA,NA,NA,NA,27,NA,NA,NA,NA,37,NA,NA,NA,NA,28,NA,NA,NA,NA,35,NA,NA,NA,NA,45,NA,NA,NA,NA,7,NA,NA,NA,NA,286,NA,NA,NA,NA
Marigaon,'21.4.3.b',Number of Female children identified with Developmental delay,TOTAL,14,NA,NA,NA,NA,25,NA,NA,NA,NA,26,NA,NA,NA,NA,21,NA,NA,NA,NA,26,NA,NA,NA,NA,17,NA,NA,NA,NA,22,NA,NA,NA,NA,28,NA,NA,NA,NA,19,NA,NA,NA,NA,37,NA,NA,NA,NA,44,NA,NA,NA,NA,15,NA,NA,NA,NA,294,NA,NA,NA,NA
Marigaon,'21.5.1',Number of Children Managed by Intervention - Medical,TOTAL,39,NA,NA,NA,NA,32,NA,NA,NA,NA,0,NA,NA,NA,NA,89,NA,NA,NA,NA,72,NA,NA,NA,NA,20,NA,NA,NA,NA,73,NA,NA,NA,NA,515,NA,NA,NA,NA,375,NA,NA,NA,NA,701,NA,NA,NA,NA,2199,NA,NA,NA,NA,1174,NA,NA,NA,NA,5289,NA,NA,NA,NA
Marigaon,'21.5.2',Number of Children Managed by Intervention - Surgical,TOTAL,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,2,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,11,NA,NA,NA,NA,2,NA,NA,NA,NA,0,NA,NA,NA,NA,8,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,24,NA,NA,NA,NA
Marigaon,'21.5.3',Early intervention at DEIC ( District Early Intervention Centre),TOTAL,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,2,NA,NA,NA,NA,0,NA,NA,NA,NA,2,NA,NA,NA,NA
Marigaon,'22.1.1.a',Girls (6th -12th class) provided 4 IFA tablets in schools,TOTAL,29326,NA,NA,NA,NA,29168,NA,NA,NA,NA,21715,NA,NA,NA,NA,24523,NA,NA,NA,NA,24811,NA,NA,NA,NA,11821,NA,NA,NA,NA,17513,NA,NA,NA,NA,10256,NA,NA,NA,NA,8312,NA,NA,NA,NA,17108,NA,NA,NA,NA,18702,NA,NA,NA,NA,16882,NA,NA,NA,NA,230137,NA,NA,NA,NA
Marigaon,'22.1.1.b',Boys (6th -12th class) provided 4 IFA tablets in schools,TOTAL,23736,NA,NA,NA,NA,22760,NA,NA,NA,NA,16225,NA,NA,NA,NA,19466,NA,NA,NA,NA,20514,NA,NA,NA,NA,9549,NA,NA,NA,NA,16517,NA,NA,NA,NA,9943,NA,NA,NA,NA,9238,NA,NA,NA,NA,16791,NA,NA,NA,NA,18174,NA,NA,NA,NA,15629,NA,NA,NA,NA,198542,NA,NA,NA,NA
Marigaon,'22.1.2.a',Girls (6th -12th class) provided albendazole in schools,TOTAL,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,24712,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,24712,NA,NA,NA,NA
Marigaon,'22.1.2.b',Boys (6th -12th class) provided albendazole in schools,TOTAL,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,20063,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,20063,NA,NA,NA,NA
Marigaon,'22.1.3',Number of out of school adolscent girls (10-19 years) provided 4 IFA tablets at Anganwadi Centres,TOTAL,3402,NA,NA,NA,NA,3432,NA,NA,NA,NA,2695,NA,NA,NA,NA,3117,NA,NA,NA,NA,3222,NA,NA,NA,NA,1437,NA,NA,NA,NA,2818,NA,NA,NA,NA,1453,NA,NA,NA,NA,1980,NA,NA,NA,NA,3220,NA,NA,NA,NA,2139,NA,NA,NA,NA,1068,NA,NA,NA,NA,29983,NA,NA,NA,NA
Marigaon,'22.1.4',Number of out of school adolscent girls (10-19 years) provided albendazole at Anganwadi Centres,TOTAL,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,2271,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,921,NA,NA,NA,NA,325,NA,NA,NA,NA,3517,NA,NA,NA,NA
Marigaon,'22.2.1',Number of adolescent girls provided sanitary napkin packs,TOTAL,707,NA,NA,NA,NA,1156,NA,NA,NA,NA,4072,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,5935,NA,NA,NA,NA
Marigaon,'22.2.2',Number of sanitary napkin packs sold to adolescent girls,TOTAL,707,NA,NA,NA,NA,1156,NA,NA,NA,NA,4072,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,5935,NA,NA,NA,NA
Marigaon,'22.2.3',Number of sanitary napkin packs distributed free to ASHA,TOTAL,73,NA,NA,NA,NA,59,NA,NA,NA,NA,40,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,172,NA,NA,NA,NA
Marigaon,'22.2.4',Number of adolescent girls attended monthly meeting,TOTAL,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Marigaon,'23.1',Number of children covered under WIFS JUNIOR (6 - 10 years ) provided 4-5 IFA tablets in schools,TOTAL,76225,NA,NA,NA,NA,72292,NA,NA,NA,NA,60213,NA,NA,NA,NA,33673,NA,NA,NA,NA,36607,NA,NA,NA,NA,30154,NA,NA,NA,NA,50080,NA,NA,NA,NA,26432,NA,NA,NA,NA,13971,NA,NA,NA,NA,38292,NA,NA,NA,NA,34623,NA,NA,NA,NA,25591,NA,NA,NA,NA,498153,NA,NA,NA,NA
Marigaon,'23.2',Number of children (6 - 10 years) provided albendazole in schools,TOTAL,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,12459,NA,NA,NA,NA,0,NA,NA,NA,NA,80287,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,92746,NA,NA,NA,NA
Marigaon,'23.3',Number of out of school children (6-10 years) given 4-5 IFA tablets at Anganwadi Centres,TOTAL,19472,NA,NA,NA,NA,19396,NA,NA,NA,NA,0,NA,NA,NA,NA,19072,NA,NA,NA,NA,19112,NA,NA,NA,NA,0,NA,NA,NA,NA,19040,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,19180,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,115272,NA,NA,NA,NA
Marigaon,'23.4',Number of out of school children (6-10 years) provided albendazole at Anganwadi Centres,TOTAL,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,46568,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,46568,NA,NA,NA,NA
Marigaon,'24.1',Total Maternal Deaths Reviewed (MDR) by CMO,TOTAL,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,9,NA,NA,NA,NA,0,NA,NA,NA,NA,8,NA,NA,NA,NA,0,NA,NA,NA,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,0,NA,NA,NA,NA,24,NA,NA,NA,NA
Marigaon,'24.2',Total Maternal Deaths Reviewed (MDR) by DM,TOTAL,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Marigaon,'24.3',Number of maternal deaths reported through Community based Maternal Death Review (CBMDR),TOTAL,0,NA,NA,NA,NA,0,NA,NA,NA,NA,3,NA,NA,NA,NA,0,NA,NA,NA,NA,6,NA,NA,NA,NA,0,NA,NA,NA,NA,8,NA,NA,NA,NA,0,NA,NA,NA,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,0,NA,NA,NA,NA,24,NA,NA,NA,NA
Marigaon,'25.1.1',Number of Pregnant Women provided - Free Medicines under JSSK,TOTAL,877,NA,NA,NA,NA,876,NA,NA,NA,NA,851,NA,NA,NA,NA,1074,NA,NA,NA,NA,1408,NA,NA,NA,NA,1469,NA,NA,NA,NA,1436,NA,NA,NA,NA,1472,NA,NA,NA,NA,1287,NA,NA,NA,NA,1502,NA,NA,NA,NA,1400,NA,NA,NA,NA,966,NA,NA,NA,NA,14618,NA,NA,NA,NA
Marigaon,'25.1.2',Number of Pregnant Women provided - Free Diet under JSSK,TOTAL,498,NA,NA,NA,NA,564,NA,NA,NA,NA,467,NA,NA,NA,NA,543,NA,NA,NA,NA,769,NA,NA,NA,NA,784,NA,NA,NA,NA,879,NA,NA,NA,NA,740,NA,NA,NA,NA,704,NA,NA,NA,NA,985,NA,NA,NA,NA,786,NA,NA,NA,NA,641,NA,NA,NA,NA,8360,NA,NA,NA,NA
Marigaon,'25.1.3',Number of Pregnant Women provided - Free Diagnostics under JSSK,TOTAL,550,NA,NA,NA,NA,945,NA,NA,NA,NA,922,NA,NA,NA,NA,1135,NA,NA,NA,NA,1579,NA,NA,NA,NA,1229,NA,NA,NA,NA,1255,NA,NA,NA,NA,1342,NA,NA,NA,NA,1055,NA,NA,NA,NA,2477,NA,NA,NA,NA,1650,NA,NA,NA,NA,1568,NA,NA,NA,NA,15707,NA,NA,NA,NA
Marigaon,'25.1.4',Number of Pregnant Women provided - Free Home to facility transport under JSSK,TOTAL,54,NA,NA,NA,NA,43,NA,NA,NA,NA,29,NA,NA,NA,NA,35,NA,NA,NA,NA,20,NA,NA,NA,NA,21,NA,NA,NA,NA,25,NA,NA,NA,NA,20,NA,NA,NA,NA,24,NA,NA,NA,NA,11,NA,NA,NA,NA,37,NA,NA,NA,NA,10,NA,NA,NA,NA,329,NA,NA,NA,NA
Marigaon,'25.1.5',Number of Pregnant Women provided - Interfacility transfers when needed under JSSK,TOTAL,10,NA,NA,NA,NA,11,NA,NA,NA,NA,26,NA,NA,NA,NA,28,NA,NA,NA,NA,4,NA,NA,NA,NA,3,NA,NA,NA,NA,5,NA,NA,NA,NA,15,NA,NA,NA,NA,14,NA,NA,NA,NA,5,NA,NA,NA,NA,6,NA,NA,NA,NA,10,NA,NA,NA,NA,137,NA,NA,NA,NA
Marigaon,'25.1.6',Number of Pregnant Women provided - Free Drop Back home under JSSK,TOTAL,495,NA,NA,NA,NA,612,NA,NA,NA,NA,633,NA,NA,NA,NA,599,NA,NA,NA,NA,514,NA,NA,NA,NA,613,NA,NA,NA,NA,695,NA,NA,NA,NA,665,NA,NA,NA,NA,357,NA,NA,NA,NA,644,NA,NA,NA,NA,532,NA,NA,NA,NA,477,NA,NA,NA,NA,6836,NA,NA,NA,NA
Marigaon,'25.2.1',Number of sick infants provided - Free Medicines under JSSK,TOTAL,38,NA,NA,NA,NA,14,NA,NA,NA,NA,174,NA,NA,NA,NA,401,NA,NA,NA,NA,305,NA,NA,NA,NA,401,NA,NA,NA,NA,280,NA,NA,NA,NA,308,NA,NA,NA,NA,290,NA,NA,NA,NA,412,NA,NA,NA,NA,397,NA,NA,NA,NA,277,NA,NA,NA,NA,3297,NA,NA,NA,NA
